# WoW API Quick Reference (1799 functions)
Format: FunctionName | signature | description
GetQuestLogSpecialItemInfo | link, icon, charges = GetQuestLogSpecialItemInfo(questIndex) | Returns information about a usable item associated with a current quest. Available for a number of quests which involve 
GetQuestLogSpellLink | link = GetQuestLogSpellLink() | Returns a hyperlink for a spell in the selected quest in the quest log
GetQuestLogTimeLeft | questTimer = GetQuestLogTimeLeft() | Returns time remaining for the selected quest in the quest log. If the selected quest is not timed, returns nil.
GetQuestLogTitle | questLogTitleText, level, questTag, suggestedGroup, isHeader, isCollapsed, isComplete, isDaily, questID = GetQuestLogTitle(questIndex) | Returns information about an entry in the player's quest log
GetQuestMoneyToGet | money = GetQuestMoneyToGet() | Returns the amount of money required to complete the quest presented by a questgiver. Usable following the `QUEST_PROGRE
GetQuestResetTime | time = GetQuestResetTime() | Returns the amount of time remaining until the daily quest period resets
GetQuestReward | GetQuestReward(choice) | Finishes turning in a quest to a questgiver, selecting an item reward if applicable. Usable following the `QUEST_COMPLET
GetQuestsCompleted | completedQuests = GetQuestsCompleted(questTbl) | Gets a table containing the quests the player has completed. This function will only return data after QueryQuestsComple
GetQuestSpellLink | link = GetQuestSpellLink() | Returns a hyperlink for a spell in a questgiver dialog. Only valid when the questgiver UI is showing the accept/decline,
GetQuestText | text = GetQuestText() | Returns the text for the quest offered by a questgiver. Only valid when the questgiver UI is showing the accept/decline 
GetQuestTimers | ... = GetQuestTimers() | Returns a list of the times remaining for any active timed quests
GetQuestWatchIndex | questWatchIndex = GetQuestWatchIndex(questLogIndex) | Returns the quest watch (objective tracker) index of a quest in the quest log
GetRaidRosterInfo | name, rank, subgroup, level, class, fileName, zone, online, isDead, role, isML = GetRaidRosterInfo(index) | Returns information about a member of the player's raid
GetRaidRosterSelection | raidIndex = GetRaidRosterSelection() | Returns the index of the selected unit in the raid roster. Selection in the raid roster is used only for display in the 
GetRaidTargetIndex | index = GetRaidTargetIndex("unit") or GetRaidTargetIndex("name") | Returns the index of the raid target marker on a unit
GetRandomDungeonBestChoice | GetRandomDungeonBestChoice() | Returns the dungeonID of the random dungeon group that provides the best loot for the player.. The dungeonID that is ret
GetRangedCritChance | critChance = GetRangedCritChance() | Returns the player's ranged critical strike chance
GetReadyCheckStatus | status = GetReadyCheckStatus("unit") | Returns a unit's status during a ready check. Returns nil for all units unless the player is the party/raid leader or a 
GetReadyCheckTimeLeft | timeLeft = GetReadyCheckTimeLeft() | Returns the amount of time left on the current ready check. Returns `0` if no ready check is in progress.
GetRealmName | realm = GetRealmName() | Returns the name of the player's realm (server name)
GetRealNumPartyMembers | numMembers = GetRealNumPartyMembers() | Returns the number of members in the player's non-battleground party. When the player is in a party/raid and joins a bat
GetRealNumRaidMembers | numMembers = GetRealNumRaidMembers() | Returns the number of members in the player's non-battleground raid. When the player is in a party/raid and joins a batt
GetRealZoneText | zoneName = GetRealZoneText() | Returns the "official" name of the zone or instance in which the player is located. This name matches that seen in the W
GetRefreshRates | ... = GetRefreshRates() | Returns a list of available screen refresh rates. The current refresh rate can be found in the `gxRefresh` CVar.
GetReleaseTimeRemaining | timeleft = GetReleaseTimeRemaining() | Returns the amount of time remaining until the player's spirit is automatically released when dead. Returns `-1` if the 
GetRepairAllCost | repairAllCost, canRepair = GetRepairAllCost() | Returns the cost to repair all of the player's damaged items. Returns `0, nil` if none of the player's items are damaged
GetResSicknessDuration | resSicknessTime = GetResSicknessDuration() | Returns the duration of resurrection sickness at the player's current level. Returns nil for players under level 10, who
GetRestState | state, name, multiplier = GetRestState() | Returns the player's current rest state
GetRewardArenaPoints | arenaPoints = GetRewardArenaPoints() | Returns the amount of arena points awarded when completing a quest.
GetRewardHonor | honor = GetRewardHonor() | Returns the amount of honor points awarded when completing a quest.
GetRewardMoney | money = GetRewardMoney() | Returns the amount of money awarded when completing a quest.
GetRewardSpell | texture, name, isTradeskillSpell, isSpellLearned = GetRewardSpell() | Returns information about a spell awarded when completing a quest. Only valid when the questgiver UI is showing the acce
GetRewardTalents | talents = GetRewardTalents() | Returns the talent points awarded when completing a quest. Only valid when the questgiver UI is showing the accept/decli
GetRewardText | text = GetRewardText() | Returns questgiver dialog to be displayed when completing a quest. Only valid when the questgiver UI is showing the comp
GetRewardTitle | title = GetRewardTitle() | Returns the title awarded when completing a quest.
GetRuneCooldown | start, duration, runeReady = GetRuneCooldown(slot) | Returns cooldown information about one of the player's rune resources. Note the placement of runes 3-4 (normally Unholy)
GetRuneType | runeType = GetRuneType(slot) | Returns the type of one of the player's rune resources. Note the placement of runes 3-4 (normally Unholy) and 5-6 (norma
GetRunningMacro | index = GetRunningMacro() | Returns the index of the currently running macro.
GetRunningMacroButton | button = GetRunningMacroButton() | Returns the mouse button that was used to activate the running macro
GetSavedInstanceInfo | instanceName, instanceID, instanceReset, instanceDifficulty, locked, extended, instanceIDMostSig, isRaid, maxPlayers, difficultyName = GetSavedInstanceInfo(index) | Returns information on a specific instance to which the player is saved
GetScreenHeight | height = GetScreenHeight() | Returns the height of the screen for UI layout purposes. Measurements for layout are affected by the UI Scale setting (i
GetScreenResolutions | ... = GetScreenResolutions() | Returns a list of available screen resolutions
GetScriptCPUUsage | usage = GetScriptCPUUsage() | Returns the total CPU time used by the scripting system. Only returns valid data if the `scriptProfile` CVar is set to 1
GetSelectedAuctionItem | index = GetSelectedAuctionItem("list") | Returns the index of the currently selected item in an auction listing. Auction selection is used only for display and i
GetSelectedBattlefield | index = GetSelectedBattlefield() | Returns the index of the selected battleground instance in the queueing list. Selection in the battleground instance lis
GetSelectedDisplayChannel | index = GetSelectedDisplayChannel() | Returns the selected channel in the channel list display
GetSelectedFaction | index = GetSelectedFaction() | Returns which faction entry is selected in the reputation UI.
GetSelectedFriend | index = GetSelectedFriend() | Returns the index of the selected character in the player's friends list. Selection in the Friends list is used only for
GetSelectedIgnore | index = GetSelectedIgnore() | Returns the index of the selected character in the player's ignore list. Selection in the Ignore list is used only for d
GetSelectedMute | selectedMute = GetSelectedMute() | Returns the index of the selected entry in the Muted list. Mute list selection is only used for display purposes in the 
GetSelectedStablePet | selectedPet = GetSelectedStablePet() | Returns the index of the selected stable pet
GetSelectedStationeryTexture | index = GetSelectedStationeryTexture() | Returns the currently selected stationery type. Always returns 1; the stationery feature for sending mail is not impleme
GetSendMailCOD | amount = GetSendMailCOD() | Returns the Cash-On-Delivery cost of the outgoing message. Returns the amount set via `SetSendMailCOD()`, which in the d
GetSendMailItem | itemName, itemTexture, stackCount, quality = GetSendMailItem(slot) | Returns information for an item attached to the outgoing message
GetSendMailItemLink | itemlink = GetSendMailItemLink(slot) | Returns a hyperlink for an item attached to the outgoing message
GetSendMailMoney | amount = GetSendMailMoney() | Returns the amount of money to be sent with the outgoing message. Returns the amount set via `SetSendMailMoney()`, which
GetSendMailPrice | price = GetSendMailPrice() | Returns the cost to send the outgoing mail message. The cost of sending a message rises as more items are attached.
GetShapeshiftForm | index = GetShapeshiftForm() | Returns the index of the active ability on the stance/shapeshift bar
GetShapeshiftFormCooldown | start, duration, enable = GetShapeshiftFormCooldown(index) | Returns cooldown information about an ability on the stance/shapeshift bar
GetShapeshiftFormInfo | texture, name, isActive, isCastable = GetShapeshiftFormInfo(index) | Returns information about a shapeshift form
GetShieldBlock | damage = GetShieldBlock() | Returns the amount of damage prevented when the player blocks with a shield
GetSkillLineInfo | skillName, header, isExpanded, skillRank, numTempPoints, skillModifier, skillMaxRank, isAbandonable, stepCost, rankCost, minLevel, skillCostType, skillDescription = GetSkillLineInfo(index) | Returns information about a given skill line
GetSocketItemBoundTradeable | tradeable = GetSocketItemBoundTradeable() | Returns whether the item open for socketing is temporarily tradeable. A Bind on Pickup item looted by the player can be 
GetSocketItemInfo | name, icon, quality = GetSocketItemInfo() | Returns information about the item currently being socketed. Only returns valid information when the Item Socketing UI i
GetSocketItemRefundable | refundable = GetSocketItemRefundable() | Returns whether the item open for socketing is temporarily refundable. Items bought with alternate currency (honor point
GetSocketTypes | gemColor = GetSocketTypes(index) | Returns information about the gem types usable in a socket. Only returns valid information when the Item Socketing UI is
GetSpellAutocast | autocastAllowed, autocastEnabled = GetSpellAutocast(id, "bookType") | Returns information about automatic casting for a spell in the spellbook. Generally, only certain pet spells can be auto
GetSpellBonusDamage | minModifier = GetSpellBonusDamage(school) | Returns the player's spell damage bonus for a spell school
GetSpellBonusHealing | bonusHealing = GetSpellBonusHealing() | Returns the player's amount of bonus healing
GetSpellCooldown | start, duration, enable = GetSpellCooldown(index, "bookType") or GetSpellCooldown("name") or GetSpellCooldown(id) | Returns cooldown information about a spell in the spellbook
GetSpellCount | numCasts = GetSpellCount(index, "bookType") or GetSpellCount("name") | Returns the number of times a spell can be cast. Generally used for spells whose casting is limited by the number of ite
GetSpellCritChance | minCrit = GetSpellCritChance(school) | Returns the player's spell critical strike chance for a spell school
GetSpellCritChanceFromIntellect | critChance = GetSpellCritChanceFromIntellect(["unit"]) | Returns additional spell critical strike chance provided by Intellect
GetSpellInfo | name, rank, icon, powerCost, isFunnel, powerType, castingTime, minRange, maxRange = GetSpellInfo(index, "bookType") or GetSpellInfo("name") or GetSpellInfo(id) | Returns information about a spell
GetSpellLink | link, tradeLink = GetSpellLink(index, "bookType") or GetSpellLink("name") or GetSpellLink(id) | Returns a hyperlink for a spell
GetSpellName | spellName, subSpellName = GetSpellName(id, "bookType") | Returns the name and secondary text for a spell in the spellbook. This function can been replaced with GetSpellBookItemN
GetSpellPenetration | penetration = GetSpellPenetration() | Returns the amount of enemy magic resistance ignored due to the player's Spell Penetration Rating
GetSpellTabInfo | name, texture, offset, numSpells = GetSpellTabInfo(index) | Returns information about a tab in the spellbook
GetSpellTexture | texture = GetSpellTexture(index, "bookType") or GetSpellTexture("name") | Returns the icon texture path for a spell
GetStablePetFoodTypes | ... = GetStablePetFoodTypes(index) | Returns the types of food that a stabled pet will eat
GetStablePetInfo | icon, name, level, family, talent = GetStablePetInfo(index) | Returns information about a stabled pet
GetStationeryInfo | name, texture, cost = GetStationeryInfo(index) | Returns information about a stationery type. Only returns information for the default stationery type; the stationery fe
GetStatistic | info = GetStatistic(id) | Returns data for a statistic that can be shown on the statistics tab of the achievements window
GetStatisticsCategoryList | categories = GetStatisticsCategoryList() | Returns a list of all statistic categories
GetSubZoneText | subzoneText = GetSubZoneText() | Returns the name of the minor area in which the player is located. Subzones are named regions within a larger zone or in
GetSuggestedGroupNum | suggestedGroup = GetSuggestedGroupNum() | Returns the suggested group size for attempting the quest currently offered by a questgiver. Usable following the `QUEST
GetSummonConfirmAreaName | area = GetSummonConfirmAreaName() | Returns the destination area of an offered summons. The name returned is generally that of the subzone in which the summ
GetSummonConfirmSummoner | text = GetSummonConfirmSummoner() | Returns the name of the unit offering a summons to the player. Usable between when the `CONFIRM_SUMMON` event fires (due
GetSummonConfirmTimeLeft | timeleft = GetSummonConfirmTimeLeft() | Returns the amount of time remaining before an offered summons expires. Returns 0 if no summons is currently available.
GetSummonFriendCooldown | start, duration = GetSummonFriendCooldown() | Returns cooldown information about the player's Summon Friend ability
GetTabardCreationCost | cost = GetTabardCreationCost() | Returns the cost to create a guild tabard. Only returns valid data if the player is interacting with a tabard designer (
GetTalentInfo | name, iconTexture, tier, column, rank, maxRank, isExceptional, meetsPrereq, previewRank, meetsPreviewPrereq = GetTalentInfo(tabIndex, talentIndex, inspect, pet, talentGroup) | Returns information about a talent option
GetTalentLink | link = GetTalentLink(tabIndex, talentIndex, inspect, pet, talentGroup) | Returns a hyperlink for a talent
GetTalentPrereqs | tier, column, isLearnable, isPreviewLearnable, ... = GetTalentPrereqs(tabIndex, talentIndex, inspect, pet, talentGroup) | Returns information about prerequisites to learning a talent
GetTalentTabInfo | id, name, description, icon, points, background, previewPoints, isUnlocked = GetTalentTabInfo(tabIndex, inspect, pet, talentGroup) | Returns information about a talent tab
GetTargetTradeMoney | amount = GetTargetTradeMoney() | Returns the amount of money offered for trade by the target
GetTaxiBenchmarkMode | isBenchmark = GetTaxiBenchmarkMode() | Returns whether flight path benchmark mode is enabled
GetTerrainMip | terrainDetail = GetTerrainMip() | Returns the level of terrain detail displayed. Corresponds to the "Terrain Blending" slider in the default UI's Video Op
GetThreatStatusColor | red, green, blue = GetThreatStatusColor(status) | Returns color values for a given threat status. Color component values are floating point numbers between 0 and 1, with 
GetTime | time = GetTime() | Returns a number representing the current time (with millisecond precision). Unlike with `time()`, the number returned b
GetTitleName | titleName = GetTitleName(titleIndex) | Returns the text of an available player title
GetTitleText | text = GetTitleText() | Returns the title text for the quest presented by a questgiver. Only valid following the `QUEST_DETAIL`, `QUEST_PROGRESS
GetTotalAchievementPoints | points = GetTotalAchievementPoints() | Returns the player's total achievement points earned
GetTotemInfo | haveTotem, name, startTime, duration, icon = GetTotemInfo(slot) | Returns information on a currently active totem (or ghoul). Totem functions are also used for ghouls summoned by a Death
GetTotemTimeLeft | seconds = GetTotemTimeLeft(slot) | Returns the time remaining before a totem (or ghoul) automatically disappears.
GetTrackedAchievements | ... = GetTrackedAchievements() | Returns numeric IDs of the achievements flagged for display in the objectives tracker UI
GetTrackingInfo | name, texture, active, category = GetTrackingInfo(index) | Returns information about a given tracking option
GetTradePlayerItemInfo | name, texture, numItems, quality, isUsable, enchantment = GetTradePlayerItemInfo(index) | Returns information about an item offered for trade by the player
GetTradePlayerItemLink | link = GetTradePlayerItemLink(index) | Returns a hyperlink for an item offered for trade by the player
GetTradeSkillCooldown | cooldown = GetTradeSkillCooldown(index) | Returns the time remaining on a trade skill recipe's cooldown
GetTradeSkillDescription | description = GetTradeSkillDescription(index) | Returns descriptive text for a tradeskill recipe. Most recipes that create items don't provide descriptive text; it's mo
GetTradeSkillIcon | texturePath = GetTradeSkillIcon(index) | Returns the icon for a trade skill recipe. For recipes which create an item, this is generally the icon of the item crea
GetTradeSkillInfo | skillName, skillType, numAvailable, isExpanded, serviceType = GetTradeSkillInfo(index) | Returns information about a trade skill header or recipe
GetTradeSkillInvSlotFilter | enabled = GetTradeSkillInvSlotFilter(index) | Returns whether the trade skill listing is filtered by a given item equipment slot
GetTradeSkillInvSlots | ... = GetTradeSkillInvSlots() | Returns a list of recipe equipment slots for the current trade skill. These inventory types correspond to those of the i
GetTradeSkillItemLevelFilter | minLevel, maxLevel = GetTradeSkillItemLevelFilter() | Returns the current settings for filtering the trade skill listing by required level of items produced
GetTradeSkillItemLink | link = GetTradeSkillItemLink(index) | Returns a hyperlink for the item created by a tradeskill recipe. The tooltip produced when resolving the link describes 
GetTradeSkillItemNameFilter | text = GetTradeSkillItemNameFilter() | Returns the current search text for filtering the trade skill listing by name
GetTradeSkillLine | tradeskillName, rank, maxLevel = GetTradeSkillLine() | Returns information about the current trade skill
GetTradeSkillListLink | link = GetTradeSkillListLink() | Returns a hyperlink to the player's list of recipes for the current trade skill
GetTradeSkillNumMade | minMade, maxMade = GetTradeSkillNumMade(index) | Returns the number of items created when performing a tradeskill recipe
GetTradeSkillNumReagents | numReagents = GetTradeSkillNumReagents(index) | Returns the number of different reagents required for a trade skill recipe
GetTradeSkillReagentInfo | reagentName, reagentTexture, reagentCount, playerReagentCount = GetTradeSkillReagentInfo(skillIndex, reagentIndex) | Returns information about a reagent in a trade skill recipe
GetTradeSkillReagentItemLink | link = GetTradeSkillReagentItemLink(skillIndex, reagentIndex) | Returns a hyperlink for a reagent in a tradeskill recipe
GetTradeSkillRecipeLink | link = GetTradeSkillRecipeLink(index) | Returns hyperlink for a tradeskill recipe. The tooltip produced when resolving the link describes the recipe itself -- i
GetTradeskillRepeatCount | repeatCount = GetTradeskillRepeatCount() | Returns the number of times the trade skill recipe currently being performed will repeat. Returns 1 if a recipe is not b
GetTradeSkillSelectionIndex | index = GetTradeSkillSelectionIndex() | Returns the index of the currently selected trade skill recipe. Selection in the recipe list is used only for display in
GetTradeSkillSubClasses | ... = GetTradeSkillSubClasses() | Returns a list of recipe subclasses for the current trade skill. These subclasses correspond to those of the items produ
GetTradeSkillSubClassFilter | enabled = GetTradeSkillSubClassFilter(index) | Returns whether the trade skill listing is filtered by a given item subclass
GetTradeSkillTools | toolName, hasTool, ... = GetTradeSkillTools(index) | Returns a list of required tools for a trade skill recipe. A tool may be an item (e.g. Blacksmith Hammer, Virtuoso Inkin
GetTradeTargetItemInfo | name, texture, numItems, quality, isUsable, enchantment = GetTradeTargetItemInfo(index) | Returns information about an item offered for trade by the target
GetTradeTargetItemLink | link = GetTradeTargetItemLink(index) | Returns a hyperlink for an item offered for trade by the target
GetTrainerGreetingText | text = GetTrainerGreetingText() | Returns the current trainer's greeting text. In the default UI, this text is displayed at the top of the trainer window.
GetTrainerSelectionIndex | selectionIndex = GetTrainerSelectionIndex() | Returns the index of the currently selected trainer service. Selection in the recipe list is used only for display in th
GetTrainerServiceAbilityReq | ability, hasReq = GetTrainerServiceAbilityReq(index, abilityIndex) | Returns information about an ability required for purchasing a trainer service
GetTrainerServiceCost | moneyCost, talentCost, skillCost = GetTrainerServiceCost(index) | Returns the cost to purchase a trainer service
GetTrainerServiceDescription | text = GetTrainerServiceDescription(index) | Returns the description of a trainer service. Generally returns the same description found in the spell's tooltip for sp
GetTrainerServiceIcon | icon = GetTrainerServiceIcon(index) | Returns the icon for a trainer service
GetTrainerServiceInfo | serviceName, serviceSubText, serviceType, isExpanded = GetTrainerServiceInfo(index) | Returns information about an entry in the trainer service listing
GetTrainerServiceItemLink | link = GetTrainerServiceItemLink(index) | Returns a hyperlink for the item associated with a trainer service. Currently only returns item links for trainer servic
GetTrainerServiceLevelReq | reqLevel = GetTrainerServiceLevelReq(index) | Returns the character level required to purchase a trainer service
GetTrainerServiceNumAbilityReq | numRequirements = GetTrainerServiceNumAbilityReq(index) | Returns the number of ability requirements for purchasing a trainer service. Ability requirements are often used for ran
GetTrainerServiceSkillReq | skill, rank, hasReq = GetTrainerServiceSkillReq(index) | Returns information about the skill requirement for a trainer service. Often used for trade skill recipes: e.g. Netherwe
GetTrainerServiceTypeFilter | isEnabled = GetTrainerServiceTypeFilter("type") | Returns whether the trainer service listing is filtered by a service status
GetUnitHealthModifier | modifier = GetUnitHealthModifier("unit") | Returns the health modifier for the player's pet
GetUnitHealthRegenRateFromSpirit | regen = GetUnitHealthRegenRateFromSpirit("unit") | Returns the increase in health regeneration rate provided by Spirit
GetUnitManaRegenRateFromSpirit | regen = GetUnitManaRegenRateFromSpirit("unit") | Returns the increase in mana regeneration rate provided by Spirit
GetUnitMaxHealthModifier | modifier = GetUnitMaxHealthModifier("unit") | Returns the maximum health modifier for the player's pet
GetUnitName | nameString = GetUnitName("unit", showServerName) | Returns a string summarizing a unit's name and server
GetUnitPitch | pitch = GetUnitPitch("unit") | Returns the player's current pitch (slope or angle of movement). Only valid for the unitID "player". The slope returned 
GetUnitPowerModifier | modifier = GetUnitPowerModifier("unit") | Returns the mana modifier for the player's pet
GetUnitSpeed | speed = GetUnitSpeed(unit) | Returns a unit's current speed. Valid for all observable units. Values returned indicate the current movement speed in y
GetUnspentTalentPoints | points = GetUnspentTalentPoints(inspect, pet, talentGroup) | Returns the number of unused talent points
GetVideoCaps | hasAnisotropic, hasPixelShaders, hasVertexShaders, hasTrilinear, hasTripleBufering, maxAnisotropy, hasHardwareCursor = GetVideoCaps() | Returns information about graphics capabilities of the current system
GetVoiceCurrentSessionID | id = GetVoiceCurrentSessionID() | Returns an identifier for the active voice session
GetVoiceSessionInfo | name, active = GetVoiceSessionInfo(session) | Returns information about a voice session
GetVoiceSessionMemberInfoBySessionID | name, voiceActive, sessionActive, muted, squelched = GetVoiceSessionMemberInfoBySessionID(session, index) | Returns information about a member of a voice channel
GetVoiceStatus | status = GetVoiceStatus(unit, "channel") or GetVoiceStatus("name", "channel") | Returns whether a character has voice chat enabled
GetWatchedFactionInfo | name, standingID, barMin, barMax, barValue = GetWatchedFactionInfo() | Returns information about the "watched" faction (displayed on the XP bar in the default UI)
GetWeaponEnchantInfo | hasMainHandEnchant, mainHandExpiration, mainHandCharges, hasOffHandEnchant, offHandExpiration, offHandCharges = GetWeaponEnchantInfo() | Returns information about temporary enchantments on the player's weapons. Does not return information about permanent en
GetWhoInfo | name, guild, level, race, class, zone, filename = GetWhoInfo(index) | Returns information about a character in the Who system query results
GetWorldPVPQueueStatus | status, mapName, queueID = GetWorldPVPQueueStatus(index) | Returns information on the players queue for a world PvP zone
GetWorldStateUIInfo | uiType, state, text, icon, dynamicIcon, tooltip, dynamicTooltip, extendedUI, extendedUIState1, extendedUIState2, extendedUIState3 = GetWorldStateUIInfo(index) | Returns information about a world state UI element. World State UI elements include PvP, instance, and quest objective i
GetXPExhaustion | exhaustionXP = GetXPExhaustion() | Returns the amount of rested bonus experience available. This value increments as the player spends time resting and dep
GetZonePVPInfo | pvpType, isSubZonePVP, factionName = GetZonePVPInfo() | Returns PVP information about the current area. Information returned may apply to the current subzone, not the entire zo
GetZoneText | zone = GetZoneText() | Returns the name of the zone in which the player is located
GiveMasterLoot | GiveMasterLoot(slot, index) | Awards a loot item to a group member. Has no effect if the player is not the loot master or if no loot or candidate matc
GlyphMatchesSocket | match = GlyphMatchesSocket(socket) | Returns whether a socket is eligible for the glyph currently awaiting a target.
gmatch | iterator = gmatch("s", "pattern") | Returns an iterator function for finding pattern matches in a string. Alias for the standard library function `string.gm
GMResponseNeedMoreHelp | GMResponseNeedMoreHelp() | Requests further GM interaction on a ticket to which a GM has already responded
GMResponseResolve | GMResponseResolve() | Notifies the server that the player's GM ticket issue has been resolved
GMSurveyAnswer | answerText = GMSurveyAnswer(questionIndex, answerIndex) | Returns text of multiple-choice question answers in a GM survey
GMSurveyAnswerSubmit | GMSurveyAnswerSubmit(question, rank, "comment") | Submits an answer to a GM survey question
GMSurveyCommentSubmit | GMSurveyCommentSubmit("comment") | Submits a comment to the current GM survey
GMSurveyNumAnswers | numAnswers = GMSurveyNumAnswers(questionIndex) | Returns the number of possible answers for a GM Survey question. Deprecated; default UI uses the constant `MAX_SURVEY_AN
GMSurveyQuestion | surveyQuestion = GMSurveyQuestion(index) | Returns the text of a specific question from a GM survey
GMSurveySubmit | GMSurveySubmit() | Submits the current GM survey
GrantLevel | GrantLevel("unit") | Grants a level to the player's Recruit-a-Friend partner. Does not immediately cause the partner character to level up: t
gsub | newString, numMatched = gsub("s", "pattern", "rep" [, maxReplaced]) or gsub("s", "pattern", repTable [, maxReplaced]) or gsub("s", "pattern", repFunc [, maxReplaced]) | Returns a string in which occurrences of a pattern are replaced. Alias for the standard library function `string.gsub`.
GuildControlAddRank | GuildControlAddRank("name") | Adds a new rank to the player's guild. The newly added rank becomes the lowest rank in the guild.
GuildControlDelRank | GuildControlDelRank("name") | Deletes a guild rank
GuildControlGetNumRanks | numRanks = GuildControlGetNumRanks() | Returns the number of ranks in the guild
GuildControlGetRankFlags | ... = GuildControlGetRankFlags() | Returns the list of privileges for the guild rank being edited. The name of a privilege for an index in this list can be
GuildControlGetRankName | rankName = GuildControlGetRankName(rank) | Returns the name of a guild rank
GuildControlSaveRank | GuildControlSaveRank("name") | Saves changes to the guild rank being edited
GuildControlSetRank | GuildControlSetRank(rank) | Chooses a guild rank to edit
GuildControlSetRankFlag | GuildControlSetRankFlag(index, enabled) | Enables or disables a privilege for the guild rank being edited. Changes are not saved until a call is made to `GuildCon
GuildDemote | GuildDemote("name") | Reduces a guild member's rank by one. The player can only demote members whose rank is below the player's own, and only 
GuildDisband | GuildDisband() | Disbands the player's guild. Only has effect if the player is the guild leader
GuildInfo | GuildInfo() | Requests guild information from the server. Fires two `CHAT_MSG_SYSTEM` events, one containing the name of the guild, fo
GuildInvite | GuildInvite("name") | Invites a character to join the player's guild
GuildLeave | GuildLeave() | Leaves the player's current guild
GuildPromote | GuildPromote("name") | Increases a guild member's rank by one. The player can only promote members up to the rank immediately below the player'
GuildRoster | GuildRoster() | Requests guild roster information from the server. Information is not returned immediately; the `GUILD_ROSTER_UPDATE` ev
GuildRosterSetOfficerNote | GuildRosterSetOfficerNote(index, "note") | Sets the officer note for a guild member
GuildRosterSetPublicNote | GuildRosterSetPublicNote(index, "note") | Sets the public note for a guild member
GuildSetLeader | GuildSetLeader("name") | Promotes a member to guild leader. Only works if the player is the guild leader and the named character is in the guild 
GuildSetMOTD | GuildSetMOTD("message") | Sets the guild Message of the Day. Guild members see the message of the day upon login and whenever it is changed (and c
GuildUninvite | GuildUninvite("name") | Removes a character from the player's guild
HasAction | hasAction = HasAction(slot) | Returns whether an action slot contains an action
HasCompletedAnyAchievement | state = HasCompletedAnyAchievement() | Checks if the player has completed at least 1 achievement. Used to determine whether or not the achievements frame shoul
HasFullControl | hasControl = HasFullControl() | Returns whether the player character can be controlled
HasInspectHonorData | hasData = HasInspectHonorData() | Returns whether PvP honor and arena data for the currently inspected unit has been downloaded from the server. See `Requ
HasKey | hasKey = HasKey() | Returns whether the player has any keys stored in the Keyring container. Used in the default UI to show or hide the UI f
HasNewMail | hasMail = HasNewMail() | Returns whether the player has received new mail since last visiting a mailbox
HasPetSpells | hasPetSpells, petType = HasPetSpells() | Returns whether the player's current pet has a spellbook
HasPetUI | hasPetUI, isHunterPet = HasPetUI() | Returns whether the pet UI should be displayed for the player's pet. Special quest-related pets, vehicles, and possessed
HasSoulstone | text = HasSoulstone() | Returns whether the player can instantly resurrect in place. Only returns valid information while the player is dead and
HasWandEquipped | isEquipped = HasWandEquipped() | Returns whether the player has a wand equipped
HearthAndResurrectFromArea | HearthAndResurrectFromArea() | Instantly exits the current world PvP zone, returning to the player's Hearthstone location.
HideRepairCursor | HideRepairCursor() | Returns the cursor to normal mode after use of `ShowRepairCursor()`
hooksecurefunc | hooksecurefunc([table,] "function", hookfunc) | Add a function to be called after execution of a secure function. Allows one to "post-hook" a secure function without ta
InboxItemCanDelete | canDelete = InboxItemCanDelete(mailID) | Returns whether a message in the player's inbox can be deleted
InCinematic | inCinematic = InCinematic() | Returns whether an in-game cinematic is playing. Applies to in-game-engine cinematics (such as when logging into a new c
InCombatLockdown | inLockdown = InCombatLockdown() | Returns whether the user interface is protected due to combat. Non-Blizzard code is allowed to perform certain UI action
InitiateTrade | InitiateTrade("unit") or InitiateTrade("name") | Offers to trade with a given unit. The trade process does not begin immediately; once the server has determined both cli
InitWorldMapPing | InitWorldMapPing() | Initializes the frame used to display the character location "ping" on the World Map
InRepairMode | inRepair = InRepairMode() | Returns whether the item repair cursor mode is currently active. Repair mode is entered by calling `ShowRepairCursor()` 
InteractUnit | InteractUnit(unit) | Interacts with (as with right-clicking on) a unit
InterfaceOptions_AddCategory | InterfaceOptions_AddCategory(panel) | Registers a panel to be displayed in the Interface Options window. The following members and methods are used by the Int
InterfaceOptionsFrame_OpenToCategory | InterfaceOptionsFrame_OpenToCategory("panelName") or InterfaceOptionsFrame_OpenToCategory(panel) | Opens the Interface Options window and displays a given panel within it
InviteUnit | InviteUnit("name") | Invites a character to the player's party or raid
ipairs | iterator, t, index = ipairs(t) | Returns an iterator function for integer keys in a table. Return values are such that the construction
IsActionInRange | inRange = IsActionInRange(slot) | Returns whether the player's target is in range of an action
IsActiveBattlefieldArena | isArena, isRegistered = IsActiveBattlefieldArena() | Returns whether the player is currently in an arena match
IsActiveQuestTrivial | trivial = IsActiveQuestTrivial(index) | Returns whether a quest which can be turned in to the current Quest NPC is trivial at the player's level. Only returns v
IsAddOnLoaded | loaded = IsAddOnLoaded("name") or IsAddOnLoaded(index) | Returns whether an addon is currently loaded
IsAddOnLoadOnDemand | isLod = IsAddOnLoadOnDemand("name") or IsAddOnLoadOnDemand(index) | Returns whether an addon can be loaded without restarting the UI
IsAltKeyDown | isDown = IsAltKeyDown() | Returns whether an Alt key on the keyboard is held down.
